,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,,,,,
2009,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,,BDS,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,INSP,,MHP,MRGI,MRGP,MRGT,MRGX,,,RMS,RNTM,RNTP,,,,,,SMP,,,TEL,TEN,,VACS,VAL,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,,FFSP,FFULP,FGASP,,FHFLP,,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,,FRMSP,FRNTMP,FRNTP,,,,,,,FSMP,FSMXHP,FSMXSP,,,FTAXP,FTELP,FTENP,,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2010,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,,BDS,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,INSP,,MHP,MRGI,MRGP,MRGT,MRGX,,,RMS,RNTM,RNTP,,,,,,SMP,,,TEL,TEN,,VACS,VAL,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,,FFSP,FFULP,FGASP,,FHFLP,,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,,FRMSP,FRNTMP,FRNTP,,,,,,,FSMP,FSMXHP,FSMXSP,,,FTAXP,FTELP,FTENP,,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2011,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,,BDS,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,INSP,,MHP,MRGI,MRGP,MRGT,MRGX,,,RMS,RNTM,RNTP,,,,,,SMP,,,TEL,TEN,,VACS,VAL,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,,FFSP,FFULP,FGASP,,FHFLP,,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,,FRMSP,FRNTMP,FRNTP,,,,,,,FSMP,FSMXHP,FSMXSP,,,FTAXP,FTELP,FTENP,,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2012,RT,SERIALNO,DIVISION,PUMA00,PUMA10,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,BATH,BDSP,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,INSP,,MHP,MRGI,MRGP,MRGT,MRGX,,REFR,RMSP,RNTM,RNTP,RWAT,,,SINK,,SMP,STOV,,TEL,TEN,TOIL,VACS,VALP,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,,FFSP,FFULP,FGASP,,FHFLP,,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,,,FSINKP,,,FSMP,FSMXHP,FSMXSP,FSTOVP,,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2013,RT,SERIALNO,DIVISION,PUMA00,PUMA10,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,BATH,BDSP,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,,,MHP,MRGI,MRGP,MRGT,MRGX,,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,,SINK,,SMP,STOV,,TEL,TEN,TOIL,VACS,VALP,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,,FFSP,FFULP,FGASP,,FHFLP,,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,,FSINKP,,,FSMP,FSMXHP,FSMXSP,FSTOVP,,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2014,RT,SERIALNO,DIVISION,PUMA00,PUMA10,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,BATH,BDSP,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,,,MHP,MRGI,MRGP,MRGT,MRGX,,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,,SINK,,SMP,STOV,,TEL,TEN,TOIL,VACS,VALP,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,,FFSP,FFULP,FGASP,,FHFLP,,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,,FSINKP,,,FSMP,FSMXHP,FSMXSP,FSTOVP,,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2015,RT,SERIALNO,DIVISION,PUMA00,PUMA10,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,BATH,BDSP,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,,,MHP,MRGI,MRGP,MRGT,MRGX,,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,,SINK,,SMP,STOV,,TEL,TEN,TOIL,VACS,VALP,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,,FFSP,FFULP,FGASP,,FHFLP,,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,,FSINKP,,,FSMP,FSMXHP,FSMXSP,FSTOVP,,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2016,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,,ACR,AGS,BATH,BDSP,BLD,BUS,,,CONP,,,ELEP,FS,,FULP,,GASP,HFL,,,INSP,,MHP,MRGI,MRGP,MRGT,MRGX,,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,,SINK,,SMP,STOV,,TEL,TEN,TOIL,VACS,VALP,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,,,FBUSP,FCONP,,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,,,FINSP,FKITP,,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,,FPLMP,,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,,FSINKP,,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2017,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BUS,BROADBND,COMPOTHX,CONP,DIALUP,ELEP,,FS,,FULP,,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,TOIL,VACS,VALP,VEH,,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SSMC,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FBUSP,FCONP,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2018,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BUS,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,TOIL,VACS,VALP,VEH,WATFP,WATP,YBL,,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SSMC,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FBUSP,FCONP,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2019,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BUS,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,TOIL,VACS,VALP,VEH,WATFP,WATP,YBL,CPLT,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,HHT2,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FBUSP,FCONP,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2020,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPEHUGQ,ACCESSINET,ACR,AGS,BATH,BDSP,BLD,,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,,VACS,VALP,VEH,WATFP,WATP,YBL,CPLT,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,,,,,HHT2,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FCONP,,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,,FVACSP,FVALP,FVEHP,FWATP,FYBLP
2021,RT,SERIALNO,DIVISION,PUMA,,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPEHUGQ,ACCESSINET,ACR,AGS,BATH,BDSP,BLD,,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,,VACS,VALP,VEH,WATFP,WATP,YRBLT,CPLT,,FINCP,FPARC,GRNTP,GRPIP,HHL,HHLANP,HHLDRAGEP,HHLDRHISP,HHLDRRAC1P,HHT,HHT2,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FCONP,,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,,FVACSP,FVALP,FVEHP,FWATP,FYRBLTP
2022,RT,SERIALNO,DIVISION,PUMA10,PUMA20,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPEHUGQ,ACCESSINET,ACR,AGS,BATH,BDSP,BLD,,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,,VACS,VALP,VEH,WATFP,WATP,YRBLT,CPLT,,FINCP,FPARC,GRNTP,GRPIP,HHL,HHLANP,HHLDRAGEP,HHLDRHISP,HHLDRRAC1P,HHT,HHT2,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FCONP,,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,,FVACSP,FVALP,FVEHP,FWATP,FYRBLTP
2023,RT,SERIALNO,DIVISION,PUMA,,REGION,STATE,ADJHSG,ADJINC,WGTP,NP,TYPEHUGQ,ACCESSINET,ACR,AGS,BATH,BDSP,BLD,,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,,VACS,VALP,VEH,WATFP,WATP,YRBLT,CPLT,,FINCP,FPARC,GRNTP,GRPIP,HHL,HHLANP,HHLDRAGEP,HHLDRHISP,HHLDRRAC1P,HHT,HHT2,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FCONP,,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,,FVACSP,FVALP,FVEHP,FWATP,FYRBLTP
